Error Type,Topic Guid,Message
Warning,3616a668-f76f-45c6-914c-3103cbded5d2,Found a an ul list inside a table in html file:3616a668-f76f-45c6-914c-3103cbded5d2.xml
Warning,3616a668-f76f-45c6-914c-3103cbded5d2,Found nested table in md file:3616a668-f76f-45c6-914c-3103cbded5d2.md
Warning,3616a668-f76f-45c6-914c-3103cbded5d2,Fixing missing end table tag in file:3616a668-f76f-45c6-914c-3103cbded5d2.md
Warning,3616a668-f76f-45c6-914c-3103cbded5d2,Fixing missing end table tag in file:3616a668-f76f-45c6-914c-3103cbded5d2.md
Warning,3616a668-f76f-45c6-914c-3103cbded5d2,Fixing missing end table tag in file:3616a668-f76f-45c6-914c-3103cbded5d2.md
Warning,3616a668-f76f-45c6-914c-3103cbded5d2,Fixing missing end table tag in file:3616a668-f76f-45c6-914c-3103cbded5d2.md
Warning,3616a668-f76f-45c6-914c-3103cbded5d2,Found invalid tables saving file:3616a668-f76f-45c6-914c-3103cbded5d2.md
Warning,6b0b434f-5d19-4e63-9296-cf104b2f3da8,Found a an ul list inside a table in html file:6b0b434f-5d19-4e63-9296-cf104b2f3da8.xml
Warning,6b0b434f-5d19-4e63-9296-cf104b2f3da8,Found nested table in md file:6b0b434f-5d19-4e63-9296-cf104b2f3da8.md
Warning,6b0b434f-5d19-4e63-9296-cf104b2f3da8,Fixing missing end table tag in file:6b0b434f-5d19-4e63-9296-cf104b2f3da8.md
Warning,6b0b434f-5d19-4e63-9296-cf104b2f3da8,Fixing missing end table tag in file:6b0b434f-5d19-4e63-9296-cf104b2f3da8.md
Warning,6b0b434f-5d19-4e63-9296-cf104b2f3da8,Fixing missing end table tag in file:6b0b434f-5d19-4e63-9296-cf104b2f3da8.md
Warning,6b0b434f-5d19-4e63-9296-cf104b2f3da8,Fixing missing end table tag in file:6b0b434f-5d19-4e63-9296-cf104b2f3da8.md
Warning,6b0b434f-5d19-4e63-9296-cf104b2f3da8,Fixing missing end table tag in file:6b0b434f-5d19-4e63-9296-cf104b2f3da8.md
Warning,6b0b434f-5d19-4e63-9296-cf104b2f3da8,Fixing missing end table tag in file:6b0b434f-5d19-4e63-9296-cf104b2f3da8.md
Warning,6b0b434f-5d19-4e63-9296-cf104b2f3da8,Fixing missing end table tag in file:6b0b434f-5d19-4e63-9296-cf104b2f3da8.md
Warning,6b0b434f-5d19-4e63-9296-cf104b2f3da8,Fixing missing end table tag in file:6b0b434f-5d19-4e63-9296-cf104b2f3da8.md
Warning,6b0b434f-5d19-4e63-9296-cf104b2f3da8,Fixing missing end table tag in file:6b0b434f-5d19-4e63-9296-cf104b2f3da8.md
Warning,6b0b434f-5d19-4e63-9296-cf104b2f3da8,Fixing missing end table tag in file:6b0b434f-5d19-4e63-9296-cf104b2f3da8.md
Warning,6b0b434f-5d19-4e63-9296-cf104b2f3da8,Found invalid tables saving file:6b0b434f-5d19-4e63-9296-cf104b2f3da8.md
Warning,7ced238b-2866-4961-af1c-6b597a55ce7a,Found a an ul list inside a table in html file:7ced238b-2866-4961-af1c-6b597a55ce7a.xml
Warning,84c08727-b496-48b6-b54b-a366fad151d7,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>Type the following where &lt;friendlyName&gt; is the friendly name of the certificate that you're using.</p> in md file:84c08727-b496-48b6-b54b-a366fad151d7.md total found:0
Warning,84c08727-b496-48b6-b54b-a366fad151d7,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<b>&lt;SPSiteURL&gt;</b> in md file:84c08727-b496-48b6-b54b-a366fad151d7.md total found:0
